Language,PRO-CTCAE Term,Attribute,Core Item,Language specific PRO-CTCAE Term Display,Language specific PRO-CTCAE Question Display,,Clinician Display Term,Clinician Display Category,Gender,Response Option - 1,Response Option - 2,Response Option - 3,Response Option - 4,Response Option - 5,Response Option - 6,Response Option - 7
,Frequent urination,4-Interference,,Orinar con frecuencia,Cuánto GANAS FRECUENTES DE ORINAR INTERFERIR con su diario o actividades habituales,,Urinary frequency,Renal and urinary disorders,both,"No, en absoluto ", Un poco , Bastante más , Mucho , Muy mucho , No aplica,
,"Insomnia (including difficultly falling asleep, staying asleep, or waking up early)",4-Interference,X,"Insomnio (incluyendo dificultad para dormirse, quedarse dormido o despertar precoz)","Cuánto INSOMNIO (INCLUYENDO DIFICULTAD PARA QUEDARSE DORMIDO, QUEDARSE DORMIDO, O DESPERTAR TEMPRANO) INTERFIEREN con sus actividades habituales o por día",,Insomnia,Psychiatric disorders,both,"No, en absoluto ", Un poco , Bastante más , Mucho , Muy mucho,,
,Loss of control of bowel movements,4-Interference,,La pérdida de control de los movimientos intestinales,Cuánto PÉRDIDA DE CONTROL DE LOS MOVIMIENTOS DEL INTESTINO INTERFERIR con sus actividades habituales o por día,,Fecal incontinence,Gastrointestinal disorders,both,"No, en absoluto ", Un poco , Bastante más , Mucho , Muy mucho , No aplica,
,Loss of control of urine (leakage),4-Interference,,La pérdida de control de la orina (de fuga),Cuánto PÉRDIDA DE CONTROL DE ORINA (FUGA) INTERFIEREN con sus actividades habituales o por día,,Urinary incontinence,Renal and urinary disorders,both,"No, en absoluto ", Un poco , Bastante más , Mucho , Muy mucho , No aplica,
,Mouth or throat sores,4-Interference,X,Llagas en la boca o la garganta,Cuánto BOCA O LA GARGANTA LLAGAS INTERFERIR con su diaria o las actividades habituales,,Mucositis oral,Gastrointestinal disorders,both,"No, en absoluto ", Un poco , Bastante más , Mucho , Muy mucho,,
,Numbness or tingling in your hands or feet,4-Interference,X,Entumecimiento o cosquilleo en las manos o los pies,Cuánto ENTUMECIMIENTO U HORMIGUEO EN MANOS O PIES INTERFERIR con sus actividades habituales o por día,,Peripheral sensory neuropathy,Nervous system disorders,both,"No, en absoluto ", Un poco , Bastante más , Mucho , Muy mucho,,
,Pain,4-Interference,X,Dolor,cuánto HA INTERFERIDO EL DOLOR con sus actividades diarias o normales,,Pain,General disorders and administration site conditions,both,"No, en absoluto ", Un poco , Bastante más , Mucho , Muy mucho,,
,Pain in the abdomen (belly area),4-Interference,,Dolor en el abdomen (área del vientre),Cuánto DOLOR EN EL ABDOMEN (ÁREA DEL VIENTRE) INTERFIEREN con su diario o actividades habituales,,Abdominal pain,Gastrointestinal disorders,both,"No, en absoluto ", Un poco , Bastante más , Mucho , Muy mucho,,
,Problems with concentration,4-Interference,X,Problemas con la concentración,Cuánto PROBLEMAS CON INTERFERIR CONCENTRACIÓN con sus actividades habituales o por día,,Concentration impairment,Nervous system disorders,both,"No, en absoluto ", Un poco , Bastante más , Mucho , Muy mucho,,
,Problems with memory,4-Interference,,Problemas con la memoria,Cuánto PROBLEMAS CON MEMORIA INTERFERIR con su diaria o las actividades habituales,,Memory impairment,Nervous system disorders,both,"No, en absoluto ", Un poco , Bastante más , Mucho , Muy mucho,,
,Sad or unhappy feelings,4-Interference,X,Triste o infeliz sentimientos,Cuánto TRISTE O INFELIZ SENTIMIENTOS INTERFIEREN con sus actividades habituales o por día,,Depression,Psychiatric disorders,both,"No, en absoluto ", Un poco , Bastante más , Mucho , Muy mucho,,
,Shortness of breath,4-Interference,X,Dificultad para respirar,Cuánto FALTA DE ALIENTO INTERFERIR con sus actividades habituales o por día,,Dyspnea,"Respiratory, thoracic and mediastinal disorders",both,"No, en absoluto ", Un poco , Bastante más , Mucho , Muy mucho,,
,Sudden urges to urinate,4-Interference,,Repentina de orinar,Cuánto INSTA REPENTINA DE ORINAR INTERFERIR con su diario o actividades habituales,,Urinary urgency,Renal and urinary disorders,both,"No, en absoluto ", Un poco , Bastante más , Mucho , Muy mucho , No aplica,
,Watery eyes (tearing),4-Interference,,Ojos llorosos (lagrimeo),Cuánto OJOS LLOROSOS (LAGRIMEO) INTERFIEREN con su diario o actividades habituales,,Watering eyes,Eye disorders,both,"No, en absoluto ", Un poco , Bastante más , Mucho , Muy mucho,,
,Hair loss,5-Amount,X,Caída del cabello,Tuvo alguna PERDIDA DEL CABELLO,,Alopecia,Skin and subcutaneous tissue disorders,both,"No, en absoluto ", Un poco , Bastante más , Mucho , Muy mucho,,
,Unusual vaginal discharge,5-Amount,,Insólito flujo vaginal,Tuvo alguna INSOLITO FLUJO VAGINAL,,Vaginal discharge,Reproductive system and breast disorders,female,"No, en absoluto ", Un poco , Bastante más , Mucho , Muy mucho,,
